-6431,15.007540934528929,true,true,x^2 + 121/116*x + 20/29,-745015/13456*x + 54718/841,2
-3071,23.804139733230130,true,true,x^2 + 34684/48201*x + 266107/1205025,6424493354536/58083410025*x + 1124542812223/58083410025,2
-3226,28.828386815374952,true,true,x^2 + 5247082/27066277*x + 37113805/27066277,200943200378598015/1465166701281458*x - 120781364476044641/1465166701281458,2
-1199,14.319213676805857,true,true,x^2 - 43/30*x + 5/4,9701/225*x + 2071/24,2
-4839,33.555600273108509,true,true,x^2 + 20602557847/18272283380*x + 343298905/913614169,24307857543306912074909/333876339919024224400*x + 103878741805622966243/3338763399190242244,2
-527,18.804560584004037,true,true,x^2 + 3492/6229*x + 1584/6229,4880038445/116401323*x - 12934161/38800441,2
-671,30.526171002945167,true,true,x^2 + 2002208466/625004203*x + 5587840911/1250008406,49848581691179023477/781260507535330418*x + 52071857071871239013/390630253767665209,2
-3597,30.075003748809460,true,true,x^2 + 267104640/207610717*x + 569330817/207610717,1393187084999464169/43102209813254089*x - 12243215504438340246/43102209813254089,2
-1535,28.250510864561202,true,true,x^2 - 3957041/1384783*x + 2943798/1384783,2005951904203762/1917623957089*x - 3135271271194537/1917623957089,2
-1671,33.690642641932126,true,true,x^2 + 62135033889/45449245105*x + 9425738496/9089849021,10795079639459272004438/2065633880614366461025*x - 25419028850073728655633/413126776122873292205,2
-359,27.533402696801159,true,true,x^2 + 298951311/177977266*x + 489265125/177977266,196686883504421035/31675907212834756*x + 2823611540238760351/31675907212834756,2
-311,18.347289176657852,true,true,x^2 + 60184/30625*x + 35589/30625,30715753902/937890625*x + 45703019617/937890625,2
-303,13.547597125302999,true,true,x^2 + 55/41*x + 367/82,22927/3362*x - 549137/3362,2
-302,28.784425651866052,true,true,x^2 + 276126616/183692319*x + 108681016/183692319,3704339622000996139/67485736119195522*x + 1513613806303184570/33742868059597761,2
-287,16.937860063830562,true,true,x^2 - 198/37*x + 687/74,455633/2738*x - 1654883/1369,2
